character,pinyin,part_of_speech,definition
校,jiao4,10,(1) 订正，改正 校，度也。后购求得书，以相校，无所遗失。年逾八十，犹乎自校书。陈寿 《三国志》 又如:校稿子;校一本书;校书(校对勘正书中的讹误;古代还指有文才的妓女);校理(校勘书籍而加以整理;唐宋官名。掌理校勘整理袐府藏书之事);校缀(将散佚的书籍加以校对整理，连缀在一起) (2) 考核，考察 比校民之有道者。以实校之。又如:校度(考察衡量);校官(古代专司探察情事的官吏);校事(三国时魏、吴均设校事，为皇帝刺探臣民的言行);校比(调查户口、财物;考核评定);校贯(核点经费);校数(数计) (3) 较量 校武票禽。扬雄 《长杨赋》 不与诸弟校竞。李延寿 《北史》 又如:校兵(交战);校武(考较武艺);较勇(较量勇力);校埒(比武场);校射(比试射技和武艺);校能(比试才艺);校棋(切磋棋艺) (4) 对抗;抗衡 韩 魏 之强，足以校于 秦。而与 奥 同盟之 德国 ，示威胁 俄 ， 俄 不敢校，而 塞 卒吞声。梁启超 《欧战蠡测》 (5) 计较;考虑 犯而不校。其间得失何足校。宋 · 欧阳修 《寄圣俞》 又如:校怨(计较怨仇);校计(犹计较);校竞(犹计较);校短推长(校短量长。谓衡量别人的长处和短处) (6) 装饰。如:校饰(装饰);校具(装饰的物品);校体(装扮自己) (7) 计算。如:校计(计算，核算)
校,xiao4,6,(1) (形声。从木，交( jiào )声。( jiào )本义:古代拘囚犯人的刑具) (2) 学堂，学校 校，教学之宫。设为庠序学校以教之。庠者，养也;校者，教也;序者，射也。郑 人游于幺校。。注:“ 郑国 谓学为校。” 郡国曰学，县、道、邑侯国曰校。夏 曰校， 殷 曰序， 周 曰庠，学则三代共之，皆所以明人伦也。又如:校序(古代称学校);校室(古代乡里的公共教育场所);校学(学校) (3) 在将之下尉之上的军官。如:校官
禅,chan2,10,(1) (形声。从示，单声。从“示”，表示与鬼神有关。( shàn )本义:古代帝王辟基祭地) 佛教语。梵语“禅那”之略。原指静坐默念。如:禅法(佛法);禅坐(指僧侣端坐静修)
禅,chan2,6,(1) 表示与佛教有关的事物。如:禅门(佛教禅宗的教门);禅床(和尚用来打坐和睡觉的床) (2) 指禅房。如:禅室(禅房);禅阁(禅房)
蛤,ge2,6,(1) (形声。从虫，合声。本义:蛤蜊) 同本义。产于浅海泥沙中，也可以人工养殖。肉可食 民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。 (2) 又如:蛤子(小蛤蜊);蛤蟹(蛤蜊与螃蟹);蛤灰(以蚌蛤壳烧成的灰);蛤像(蛤蛎的佛像);蛤蛎(即蛤蜊)
蛤,ha2,6,(1) 蛤蟆，青蛙和蟾蜍的统称。如:蛤鱼(青蛙)
屏,bing3,10,(1) 退避;隐退 侯生 乃屏人间语。又如:屏居(辞官隐居，不问世事);屏语(避开他人，私下交谈);屏伏(隐退，避匿);屏移(退隐) (2) 隐藏 尔不许我，我乃屏璧与圭。又如:屏匿(隐藏);屏迹(隐避);屏藏(隐藏) (3) 摈弃;除去，去掉。同“摒”。如:屏绝(屏弃断绝，不相来往);屏弃(屏除废弃);屏除(除去，放弃) (4) 保护。如:屏卫(护卫);屏翰(保卫) (5) 抑制。抑止不出气 宋将军 屏息观之。明 · 魏禧 《大铁椎传》 又如:屏息(止住声息。即屏气);屏气(暂时抑制呼吸) (6) 掩蔽 屏王耳目，使不聪明。又如:屏处(隐蔽之处);屏遮(遮蔽)
屏,ping2,6,(1) (形声。从尸，并声。这里的“尸”是由“广”( yǎn )演变来的，表示与宫室有关的事物。本义:宫殿当门的小墙。又称“照壁”) (2) 同本义 屏，屏蔽也。天子在外屏，诸侯在内屏。其社盖于周之屏。天子外屏，诸侯内屏。又如:屏室(犹言幽深之室) (3) 屏风。室内陈设，用以挡风或遮蔽的器具，上面常有字画 屏摄之位。。注:“屏，屏风也。” 撤屏视之，一人、一桌、一椅、一扇、一抚尺而已。又如:屏围(屏风);屏扆(宫殿上陈设在窗与门户间画有斧形图案的屏风);屏山(如屏之山;指屏风);屏户(门屏);屏风儿(指诏书的草稿格式);屏室(幽深之室);屏著(指门屏);屏帐(室中张设的帷帐);屏帷(指内室) (4) 指类似画屏那样的东西。如:荧光屏;网屏 (5) 屏障之物 大邦维屏，大宗惟翰。皆正设于屏外。三镇国之屏蔽，割之何以立国。又如:屏翳(神话中的风神);屏插(笔筒);屏门(屏风);屏泥(车轼前的装饰。亦用以遮挡泥土);屏星(车前用以蔽尘的车挡);屏面(古代的一种扇子，用以遮面) (6) 成组的条幅。如:屏幅(即屏条);屏对(屏条和对联)
削,xiao1,6,(1) (本义读 qiào。装刀剑的套子) (2) 曲刀，书刀，削刀 削书刀也。注 (3) 东周和秦汉时用来除去书写在木牍或竹简上的错字。又如:削刀(书刀) (4) 简札。如:削青(古人制简记事，先以火炙竹令其出汗变青，谓之“削青”。后泛指书籍)
削,xiao1,10,(1) 斜着刀略平地切去物体的表层 削则削。。注:“谓有所删去，以刀削简牍也。” 为天子削瓜。公输子 削竹木以为鹊。指如削葱根，口如含朱丹。又如:削铅笔;切削;削瓜(削去瓜皮。古代的一种礼节;又指削去皮的瓜);削杖(古代母丧时子服齐衰所执的木杖，用桐木削成) (2) 删除。指删改文字 削而投之。有司请定法，削则削，笔则笔，救时务也。。颜师古 注:“削者，谓有所删去，以刀削简牍也。” 又如:削改(删改);削抹(删改抹去) (3) 削除;削减 外削幅。寇至度必攻。主人先削城编，唯勿烧。又如:削籍(官吏免职);削免(削除);削迹(削除车迹。谓不被任用;又作消踪匿迹。谓隐居) (4) 掠夺 故为吏牧民者竞相剥削。又如:削夺(剥夺，夺去);削敛(剥削聚敛) (5) 分，割裂 夫 齐 ，削地而封 田婴。又如:削小(将封邑分小) (6) 剃;刮 好雄强，似出家的子路，削了发的金刚。又如:削剥(刮削;亦谓侵蚀);削发披缁(剃去头发，身着黑衣。表示出家);削头(犹削发) (7) 裁剪缝纫。如:削缝(犹缝纫)
削,xiao1,5,(1) 苛刻。如:削刑(犹严刑);削虐(苛刻残暴);削薄(刻薄) (2) 消瘦，纤细瘦长 子何清削如此? 又如:削削(纤弱的样子);削约(稀疏细小的样子);削瘦
削,xue1,0,(1) 〈动，形〉 (2) 削弱，削减 辩智而鲁削。日削月割。宋 · 苏洵 《六国论》 兵挫地削。楚 日以削 (3) 陡峭 石崖侧削。又如:削壁(徒削的山崖)现专用于合成词中，如“剥削”、“削减”、“瘦削”。义同“削( xiāo )”
挑,tiao1,10,(1) (本义的挑读 tiǎo ，挖取) (2) 用肩膀担 担挑双草履，壁依一乌藤。陆游 《自题传神》。 (3) 又如:挑力(挑担。以肩荷物);挑包(肩挑包裹);挑码头(在码头上挑运东西);从对门坡上挑柴火;挑米;挑油;挑谷 (4) 引申为承担;担当。 (5) 如:挑头的(领头，带头);挑家过日子;挑担子(承担责任或担负重任) (6) 挑选 你不嫌不好，挑两块去好了。 (7) 又如:挑兵(选募兵);挑补(挑选补官);挑踢(挑选);挑撮(撷章摘句);挑嘴(挑拣食物) (8) 挑剔 他再不放人一点儿，专会挑人。 (9) 又如:挑抉(挑剔);挑刺 (10) 通 “佻”。窃取 却至挑天。 (11) 挖取 时挑野菜和根煮。唐 · 杜荀鹤 《山中寡妇》 (12) 抬举 只要六老爷别的事上多挑他们姐儿们就是了，这一席酒，我们效六老爷的劳。
挑,tiao1,11,(1) 用于成挑儿的东西。 (2) 如:一挑水;一挑柴火
挑,tiao1,5,(1) 修长貌。多指身材 容长脸儿，长挑身材。 (2) 通 “佻”。轻佻 入境观其风俗，其百姓朴，其声乐不流抉，其服不挑。
挑,tiao3,10,(1) (形声。从手，兆声。本义:挑拨，挑动) (2) 同本义 挑，挠也。挠挑无极。汉王 欲挑战。故 相如 以琴心挑之。目窕心与。。注: “窕当为挑。史记曰:‘目挑心招’。张晏 汉书注曰:‘挑，娆也。’” 媒而挑之。 (3) 又如:挑三豁四(搬弄是非);挑头子(挑起事端;借端生事);挑眼(嫌弃;挑刺);挑茶斡刺(寻事生非);挑缀(挑拨);挑拨弄火(挑逗;拨弄火舌);挑引(挑逗，逗引);挑泛(挑逗);挑招(挑逗勾引);挑狎(调戏);挑情(挑动情爱);挑发(挑动诱发);挑谑(逗引，调笑) (4) 挖取。 (5) 如:挑野菜;挑耳;挑治(挑挖治病);挑挖(挖掘);挑补(挖补);挑动(开挖);挑浚(清除淤塞，开通河道);挑剜(抠挖);挑菜(挖菜) (6) 用竿子把东西举起或支起。 (7) 如:把帘子挑起来;挑拨(拨动灯芯使灯火明亮) (8) 用指尖、棍尖等刺或戳。 (9) 如:挑火;挑刺;挑灯;挑破水泡 (10) 显露 贵人有过端，而说者明言礼义以挑其恶，如此者身危。 (11) 弹奏琵琶的一种指法，反手回拨 轻拢慢捻抹复挑。唐 · 白居易 《琵琶行(并序)》
挑,tiao3,6,(1) 汉字的笔画之一，由左斜上
模,mo2,6,(1) (形声。从木，莫声。本义:铸造器物的模子) (2) 同本义 模，法也。。按，水曰法，木曰模，土曰型，金曰镕，竹曰笵。缤乎其犹模绣也。。注:“模所琢文章之范。” 授全模于梓匠。左思 《魏都赋》 古者铸器，必先用蜡为模。赵希鹄 《洞天清录》 又如:模度(标准);模准(样板，规范);模宪(法则) (3) 楷式，榜样。特指值得学习的先进人物 可为达士模。左思 《咏史》 诗 又如:劳模;评模;模楷(模范，榜样);模则(楷模，准则);模表(模范，表率);模范(榜样，表率)
模,mo2,10,(1) 仿效，效法 彻书之金简，以身模之焉。班固 《汉武帝内传》 又如:模次(逐字仿效);模效(模仿效法);模放(模仿);模则(效法);模造(依样制造，塑造) (2) 通“摹”。照原件描画，临摹 善隶书，特工模写。又如:模拓(把金石等器物上的图画、文字照原样印下来);模刻(照原样摹写雕刻);模象(描绘形容);模画(照事物原貌描画);模碑(摹刻有图文的石碑);模传(模拓而传播);模样(描摹形状情态);模写(照原样描绘);模帖(照帖摹写);模山范水(用文字或图画描绘山水景物)
模,mu2,6,(1) 铸模，铸型。如:字模;铜模
臭,chou4,6,(1) (会意。从犬，从自(鼻的本字)。狗鼻特别灵敏，故从二字会意。( xiù )本义:闻气味) (2) 香气 同心之言，其臭如兰。 (3) 难闻的气味 惠公 改葬 申生 ，臭彻于外。又如:臭不 可当(极言其臭);臭短臊长(各种污言秽语);臭皮囊(肉体;躯壳)
臭,chou4,5,(1) 惹人厌恶。如:臭幺(臭架子);臭老鼠(惹厌的人) (2) 腐败 若乘舟，汝弗济，臭厥载。
臭,chou4,10,(1) 〈方〉∶失效。如:打了一枪，没想到子弹“臭”了，没有过火
臭,chou4,2,(1) 表示程度很深。如:臭打一顿;臭骂一通
臭,xiu4,6,(1) 气味的总称 人通于鼻者谓之臭。臭者，气也。朱骏声 《说文通训定声》 无起秽以自臭。。疏:“古者，香气、秽气皆名为臭。” 薋葹妒其臭，茞芟兰竟被芟。上天之载，无声无臭。。郑玄 笺:“耳不闻声音，鼻不闻香臭。” 口之于味也，目之于色也，耳之于声也，鼻之于臭也，四肢之于安佚也，性也。又如:乳臭;臭味(气味;比喻志趣;比喻同类);臭败(气味败坏)
臭,xiu4,10,(1) “嗅”的古字。用鼻子辨别气味 彼臭之而无嗛于鼻。
敛,lian3,10,(1) (形声。从攴( pū )，佥( qiān )。本义:收集，聚集) (2) 同本义(收集的对象是物，常是财物) 敛，收也。既射则敛之。。注:“敛，藏也。” 狗彘食人之食不知敛。鞭挞其夫家，聚敛贡城阙。杜甫 《自京赴奉先县咏怀五百字》 敛赀财以送其行。明 · 张溥 《五人墓碑记》 又如:敛局(邀人聚赌，从中抽头);敛衣(聚集零碎布头所制成的衣服) (3) 收获 自种自敛，服箱以走。柳宗元 《牛赋》 又如:敛材(采集可食的百草根实);敛实(收割庄稼);敛获(收获) (4) 征收 豹 因重敛百姓。邺 三老、 廷椽 尝岁赋敛百姓，收取其钱得数百万。— 《史记·滑稽列传》 赋敛之毒有甚是蛇。唐 · 柳宗元 《捕蛇者说》 稍敛众以去。明 · 高君 《书博鸡者事》 成 不敢敛户口。又如:征敛(旧指官府向民间征捐敛财);聚敛(重税搜刮);敛法(收税的准则) (5) 收缩;退缩 秦 、 楚 合而为一以临 韩 ， 韩 必敛手。又如:敛额(皱眉);敛退(退缩);敛策(收束马鞭。比喻隐退不仕);敛手(缩手不敢乱动) (6) 停止。如:敛兵(收兵);敛辔(息驾，收起车马);敛祸(停止作祸);敛毫(停笔) (7) 入殓 衣尸棺曰敛。敛般，请以机封。。注:“敛，下棺于椁。” 桐棺足以周身，外椁足以周棺，敛形悬封，濯衣幅巾。醵金为敛。清 · 张廷玉 《明史》 又如:敛殡(入殓而殡葬);敛藏(犹敛葬);敛葬(入殓安葬);敛形(衣覆其形);敛埋(收敛埋葬);敛衾(古代大殓时盖尸体的被子);敛席(盖尸席) (8) 收敛，约束言行 为敛威去。清 · 张廷玉 《明史》 又如:敛戢(收敛，止息);敛抑(收敛节制);敛马(勒马) (9) 整肃;整理 诸侯敛衽。桓宽 《盐铁论》 又如:敛甲(犹束甲。整理盔甲，表示准备战斗);敛声屏气(毫无声音，不敢出大气);敛衽(提起衣襟夹于带间，表示恭敬)
敛,lian3,6,(1) 赋税 省刑薄敛。陈亮 《上孝宗皇帝第一书》
呢,ne5,4,(1) 用在疑问句末，表示疑问。如:你怎么知道呢? (2) 用在反问句末，加强反问。如:这件事谁不知道呢? (3) 用在陈述句末，表示对事实的确认或强调。如:他们都要求比赛呢 (4) 用在陈述句末，表示动作或情况正在继续。如:他学习呢 (5) 用在句中表示停顿。如:现在呢，跟过去大不同了
呢,ni2,6,(1) 人们的悄声细语 呢，呢喃，小声多言也。 (2) 又如:呢呢(絮絮不休貌) (3) 燕子鸣声 燕雏羽弱飞难起，母燕呢喃翔复止。周士彬 《营巢燕》 (4) 一种较厚较密的毛织品。如:花呢;马裤呢;呢羽(泛指毛织品与丝织品)
离,li2,6,(1) (形声。从隹( zhuī )，表示与鸟类有关，离声。“离”是“鹂”的本字，因而声符亦兼表字义。本义:鸟名。即黄鹂，也称仓庚，鸣声清脆动听) (2) 同本义 离，离黄仓庚也。離为雉、九家，離为鸟，为飞、为鹤、为黄。离则配禹。流離之子。两个黄鹂鸣翠柳，一行白鹭上青天。杜甫 《绝句》 (3) 长离，传说中的凤鸟，比喻有才华的人 双鸾游兰渚，二离扬清晖。傅长虞 《赠何劭王济》 (4) 八卦之一，象征火 离，为火，为日。 (5) 通“缡”。古代女子出嫁时系的佩巾 申佩离以自思。 (6) 通“螭”。古代传说中没有角的龙 如虎如罴，如豺如离。 (7) 通“樆”。山棃 桂椒栏，檗离朱杨。汉 · 司马相如 《子虚赋》 (8) 通“蓠”。香草 扈江离与辟芷兮，纫秋兰以为佩。 (9) 姓
离,li2,10,(1) 离假借为“剺”。离开;离别 正大夫离居。少小离家老大回。今当远离。诸葛亮 《出师表》 离臣虏之劳。离城三里。清 · 邵长蘅 《青门剩稿》 离吾乡七百里。清 · 袁枚 《祭妹文》 离离原上草……萋萋满别情。唐 · 白居易 《赋得古原草送别》 又如:脱离(离开);偏离(离开正道);离了母(离了谱;失去本来面目);离人(与亲人分别的人);离恨(离别的愁恨);离格儿(出格);离了眼(看花了眼);离丧(指亲人死亡) (2) 分散，离散。跟 “合”相对 邦分崩离析而不能守也。不愿离而离。清 · 林觉民 《与妻书》 约从离衡。汉 · 贾谊 《过秦论》 又如:离合(分合;聚散);离聚(分和合);离鹤(失群的鹤);离会(指两国君主相会，而彼此意见不一致，不能定是非善恶) (3) 假借为“罹”。遭受 雉离于罿。离桓之罪。又如:离骚(遭遇到忧患);离恨天(遭逢恨事之天);离尤(遭受罪愆);离殃(遭受，罹祸) (4) 割取 牛羊之肺，离而不提心。又如:离肺(割去肺脏) (5) 断绝;判别 一年离经辨志。又如:离经(离析经书的文句章节);离辞(离析辞句) (6) 违背，背离 失法离令。众叛亲离。又如:离上(背叛君上);离次(离弃职守);离判(弃去形体，超越形躯);离志(异心，背离的心志) (7) 距离;相距 只是小人家离得远了。离这里还有多少路。 (8) 罗列，陈列 夜峰何离离，明日落石底。李贺 《长歌续短歌》 又如:离离(罗列的样子) (9) 经历 载离寒暑。离一二旬，则人畜弃捐旷野而不反(返)。 (10) 缺少。如:离不得(少不了，不免);发展科技，离不了人才;差不离(差不多) (11) 通“丽”。附丽，附着 六五之言，离王公也。月离于毕，俾滂沱也。
离,li2,8,(1) 二，两;双 离坐离立，无往参焉。离，丽也。明两作离。盖取诸离。离不言会。。注:“二国会曰离。” 则不敢正坐离立。又如:离立(并立)
离,li2,5,(1) 通“俪”。成双，成对 父母存不养，出离者几何人? 宿离不贷。
鉄,tie3,0,(1) 同“鐵”。《字彙•金部》：“鉄，今俗為鐵字，非。”《宋元以來俗字譜》：“鐵”，《古今雜劇》、《三國志平話》、《太平樂府》等作“鉄”。
抡,lun1,10,(1) 挥动或挥舞 那后生抡着棒又赶入来。又如:抡打(挥舞);抡大铁锤;抡荤的(说下流话) (2) 任意浪费家财。如:万贯家财，禁不住胡抡 (3) 猛拉。如:绳子可能从你的手里抡出去
抡,lun2,10,(1) (形声。从手，仑( lún )声。本义:挑选，选拔) 同本义 抡，择也。凡邦工入山林而抡材不禁。君抡贤人之后。。注:“择也。” 又如:抡材(抡才，选拨人才);抡选(选拔，挑选);抡择(挑选);抡元(科举考试中选第一名);抡魁(科举考试的第一名。亦指中选第一名)
雀,que4,6,(1) 麻雀的别称。谁谓雀无角，何以穿我屋。
倘,tang3,3,(1) 表示假设。同 “黨” 、 “儻” 倘三年犹不得。清 · 候方域 《壮悔堂文集》 倘复请之。清 · 方苞 《狱中杂记》 汝倘有灵。清 · 袁枚 《祭妹文》 倘国人皆…奋斗。孙文 《黄花冈七十二烈士事略·序》 (2) 又如:倘若;倘或;倘或间;倘使;倘如;倘然(假如) (3) 相当于 “或许” 、 “大概”。如:倘来(不应得而得或无意中得到)
相,xiang1,2,(1) 交互;互相 故曰教学相长也。民至老死不相往来。生当复来归，死当长相思。汉 · 苏武 《留别妻》 当国者相见。宋 · 文天祥 《<指南录> 后序》 与北骑相出没。袁人相聚。明 · 高启 《书博鸡者事》 父子相保。鸡犬相闻。晋 · 陶渊明 《桃花源记》 更相庆。里人相庆 青山相对。唐 · 李白 《望天门山》 水石相搏。宋 · 苏 轼 《石钟山记》 两相思，两不知。南朝 宋 · 鲍照 《代春日行》 (2) 又如:相叙契阔(互相诉说分别后的情思);相思锦色(红豆又称相思豆。即红豆色) (3) 共同 鲁 孟孙 、 叔孙 、 季孙 相勠力劫 昭公 (4) 又如:上下相安 (5) 递相;先后 死者相藉。唐 · 柳宗元 《捕蛇者说》 相传以为 雁荡。宋 · 沈括 《梦溪笔谈》 络绎相属。清 · 薛福成 《观巴黎油画记》 (6) 又如:父子相传;相寻(连续;不断);相及(犹相继) (7) 表示一方对另一方有所施为 (8) 表自称 便可白公姥，及时相遣归。 (9) 表对称 吾已失恩义，会不相从许。亲友如相问。唐 · 王昌龄 《芙蓉楼送辛渐》 (10) 表他称 狼不敢前，眈眈相向。杂然相许。相委而去。莫相知。(不知道它是什么东西。) 唐 · 柳宗元 《三戒》 则噪而相逐。(相逐，追逐他。相，特指代词，单指毛一鹭。) 明 · 张溥 《五人墓碑记》 (11) 又如:相唤(招呼);相牵(牵来;捆绑);相招(招来;引来)
相,xiang1,10,(1) 相差 三王五霸，其所道不过爵禄，而功相万者，其所道明也。 (2) 又如:相万(相差万倍。极言相差之大);相绝(相差极大);相远(相异;差距大) (3) 亲自观看。如:相媳妇(男家派亲人去女家相看女方);相机(察看当时情况，寻找有利时机)
相,xiang4,10,(1) (会意。从目，从木。本义:察看;仔细看) (2) 同本义 相，省视也。相，视也。相时憸民。惟太保先周公相宅。善相丘陵。相鼠有皮，人而无仪。伯乐 学相马，顾玩所见，无非马者。不敢复相士。胜相士多。颠倒相来，到底只是一个盖儿。 (3) 又如:相尸(验尸);相女配夫(根据女儿的情况选配女婿);相脚头(盗贼作案前窥探线路) (4) 看相 臣少 好相人。 (5) 又如:相法(观察面相体态等以卜吉凶的方法);相禄(谓享有福禄的面相) (6) 辅佐，扶助 有相之道。相夫子。季文子 相三君。宋 · 司马光 《训俭示康》 伊尹相 汤 伐 桀。吾观晋公子之从者，皆足以相国。使相之。晋 · 干宝 《搜神记》 无物以相之。宋 · 王安石 《游褒禅山》 (7) 又如:相天(助成自然之道);相王(辅佐帝王;谓宰相而封王者);相吏(汉代辅佐诸侯王的官员);相者(助主人传命或导客的人) (8) 教导 问谁相礼，则 华元 …。 (9) 治，治理 相我受民。 (10) 选择 良禽相木而栖，贤臣择主而事。 (11) 又如:相攸(择婚的别称);相宅(择地定居;旧时迷信以观察地形地物判定住屋吉凶的一种方术) (12) 作某国或某人的相;使作相 及遣其子 宋襄 相 齐。 (13) 像 几树青松常带雨，浑然相个人家。
相,xiang4,6,(1) 人的外貌，相貌 岂吾相不当侯邪? 儿已薄禄相。非人臣之相也。内观不识因无相，外合明知作有形。 (2) 又如:长相(相貌);形相(外貌;外表);相表(相貌;体形);相品(仪表，人品) (3) 照片。如:照个相 (4) 官名 (5) 古代辅佐帝王的大臣。后专指宰相 赵歇 为王， 陈馀 为将， 张耳 为相。王侯将相宁有种乎? 况于将相乎。托名 汉 相。宋 · 司马光 《资治通鉴》 有将相。清 · 周容 《芋老人传》 (6) 又如:相辅(宰相);将相和;贤相;良相;奸相;权相;相王(宰相又封王者);相臣(宰相。亦泛指大臣);相父(皇帝对继续任职的先朝宰相的敬称);相邦(相国) (7) 汉时诸侯王国的实际执政者，相当于郡太守 永和 初，出为 河间 相。 (8) 某些国家(如日本)的官名，相当于中央政府的部长。如:首相;大藏相 (9) 相位。如:两相流;有机相;水相;液相;相律;月相 (10) 赞礼者，主持礼节仪式的人 宗庙之事，如 会同 ， 端章甫 ，愿为小相焉。 (11) 古代的一种乐器 后乱以武，治乱以相。 (12) 农历七月的别名 七月为相，八月为壮。 (13) 通过看面容对命运的预卜。如:相工;体相;手相;星相 (14) 古地名。故址在今河南省安阳市西 (15) 引盲人行走的人 固相师之道也。焉用彼相。 (16) 如:相步;相道(向导，引导;观察、选择道路)
约,yue1,6,(1) (形声。从糸( mì )，勺声。糸是细丝，有缠束作用。本义:绳索) (2) 同本义 人寻约。注 (3) 又如:寻约(八尺长的绳子) (4) 共同商定的事，共同议定要遵守的条文。如:约儿(字据;契约);和约;契约;条约如:约法三章 (5) 盟约;相期的诺言 负约不偿城。 (6) 又如:约酬(契约，文券) (7) 姓
约,yue1,10,(1) 缠束;环束 约之阁阁。约，缠束也。凡任索约。。注: “缩也。” 约绥约辔。约车治装。约车骑百乘。银蒜又垂碧户中，樱桃花下约帘拢。 (2) 又如:约指(环束于指);约臂(戴在手臂上的环形装饰品) (3) 约定，以语言或文字订立共同应遵守的条件 约为婚姻。与诸将约曰。不敢稍逾约。明 · 宋濂 《送东阳马生序》 必如约。明 · 崔铣 《记王忠肃公翱三事》 (4) 又如:相约(相互约定);预约(预先约定);约分鸿沟(楚汉相争，双方曾约定以鸿沟为界，平分天下);约信(用言辞订立相互信守之约定) (5) 邀请 约与食客门下有勇力文武备具者二十人偕。 (6) 又如:约交(缔交);约结(结交;邀结);约从(邀约合纵) (7) 束缚，约束 言语之约束也。注 约我以礼。 (8) 又如:约己(约束自己);约身(约束自身);约礼(用礼约束自己) (9) 阻止;阻拦。如:约拦(约栏。阻挡;阻拦);约住(止住;停住);约水(拦水) (10) 少;省减;简约  待人也轻以约。唐 · 韩愈 《原毁》 以约失之者鲜矣。宋 · 司马光 《训俭示康》 (11) 又如:约薄(刻薄);约省(减省;简约);约损(减省;俭约);约节(简约;节俭);约俭(简约省俭) (12) 置办;配备。如:约车(备车) (13) 求取。如:约功(求取功名) (14) 估量 长约八分有奇。明 · 魏学洢 《核舟记》 约烧房铺数百间。 (15) 又如:约末(约莫);约料(估计;料想);约度(估计;衡量);约谅(料想;忖度) (16) 涂饰。如:约黄(涂饰黄色)
约,yue1,2,(1) 大概。如:约有五十人;约迭(粗略估计);约计(约略计算)
约,yue1,5,(1) 贫困。如:约居(居于贫困) (2) 简要 读书一事，要由博而返之约，总以心得为主。博而不杂，约而不漏。 (3) 又如:约简(俭约简易);约艳(简洁华丽) (4) 卑微;卑下。如:约辞(卑下的言辞)
煞,sha1,10,(1) 同“杀”。弄死，杀死 立性凶暴，多行煞戮。杨衒之 《洛阳伽蓝记》 又如:令杖煞之;打煞人了 (2) 停止;结束 煞住脚往里细听。又如:收煞;煞住(止住，收住);煞果(方言。最后;结果);煞后(殿后，走在最后面);煞场(科举考试结束;一出戏结束);煞落(干脆利落);煞年(年终) (3) 削弱，损坏 此刻的话，很近于大煞风景。鲁迅 《且介亭杂文二集》 又如:煞水(驱除湿气);煞手锏(杀手锏。喻出奇制胜的手段和方法);煞渴(消渴;解渴) (4) 出气;发泄。如:煞火(痛快;过瘾);煞性(索性;干脆);煞性子(出气) (5) 刺痛。如:碘酒涂在伤口上真煞得慌 (6) 使紧或更紧。如:煞腰带
煞,sha1,1,(1) 甚么，啥 刘姥姥 心中想着:这是什么东西，有煞用处呢?
煞,sha4,6,(1) 指迷信的凶神恶鬼之类 鄂城 之俗，于新丧避煞最严。王同轨 《耳谈》 又如:凶神恶煞;煞神;煞耗(指凶神);煞星(对人不利的灾星);煞鬼(恶鬼) (2) 魂灵，魂魄。如:煞回(旧俗谓人死若干天后，魂魄返回故宅，有煞神随之，称“煞回”)
煞,sha4,2,(1) 很，极 那一片灯光，从半空倒映在乌蓝的海面上……煞是好看。又如:煞实(确实;努力);煞是(确实，非常);煞生受(很为难);煞时间(霎时间，极短的时间);煞末(方言。末尾;最后);煞不如(远不及);煞有(的确有一套);煞黑(全黑);煞费心机(费尽心思)
忒,te4,6,(1) (形声。从心，弋( yì )声。本义:差误) 同本义 (侧重不符合客观实际) 忒，更也。忒，差也。故日月不过，而四时不忒。春秋匪解，享祀不忒。淑人君子，其仪不忒。忒，差也。昊天不忒。常德不忒。第二十八章 (2) 又如:差忒(差错)
忒,te4,2,(1) 太，过于。如:忒杀(忒煞。太甚，过于)
偈,ji4,6,(1) 佛经中的唱词。偈陀之省。如:偈颂(偈文，偈句，偈言，偈语，偈诵。均为梵语 “偈佗”。即佛经中的唱颂词)
趟,tang1,10,(1) 从浅水中走过。如:趟水(从水中走过去) (2) 翻土。如:趟地 (3) 踩，踏 大洋马一纵一纵的趟起漫天尘土。徐光耀 《平原烈火》 (4) 〈方〉∶遇，碰 哪一辈子欠人的罪孽啊，都让我们 李 家人给趟上了。
趟,tang4,11,(1) (形声。从走，尚声。本义:次，回) (2) 遍，次。专指走动的次数 我看你白跑这一趟。 (3) 泛指其他动作的次数。如:看亲戚一趟;被别人笑一趟;火车一天两趟 (4) 行;条。如:两趟地;两趟脚印;只隔一趟街;趟子(行，垄)
趟,tang4,6,(1) 步子，步伐。如:赶趟儿(赶得上，来得及) (2) 套，套路。如:趟马(戏曲中表演骑着马奔跑的一套程式动作)
豊,li3,0,(1) 古代祭祀用的礼器。后作“禮”。《説文•豊部》：“豊，行禮之器也。”
豊,feng1,0,(1) 同“豐”。《玉篇•豐部》：“豐，大也。俗作豊。”
